invoice_date,party_name,amount,invoice_no
2026-07-02,"Rodriguez, Figueroa and Sanchez",54531.56,TXN1000
2026-07-16,Doyle Ltd,63161.02,TXN1001
2026-07-07,"Mcclain, Miller and Henderson",19361.31,TXN1002
2026-08-04,Davis and Sons,57681.11,TXN1003
2026-07-28,"Guzman, Hoffman and Baldwin",7846.33,TXN1004
2026-08-02,Blake and Sons,18974.91,TXN1006
2026-08-05,"Henderson, Ramirez and Lewis",51370.58,TXN1007
2026-08-11,Garcia-James,17301.78,TXN1008
2026-07-27,Abbott-Munoz,59761.96,TXN1009
2026-07-01,Dudley Group,24007.11,TXN1011
2026-07-11,Arnold Ltd,64619.22,TXN1012
2026-07-22,"Mcclure, Ward and Lee",59492.78,TXN1013
2026-07-14,Williams and Sons,23980.13,TXN1014
2026-07-22,Galloway-Wyatt,81384.5,TXN1015
2026-07-25,James Group,9136.77,TXN1016
2026-07-23,"Flowers, Martin and Kelly",8672.53,TXN1017
2026-07-03,"Adams, Zuniga and Wong",51514.85,TXN1018
2026-07-25,Gray-Mayo,11047.81,TXN1020
2026-07-19,"Watts, Robinson and Nguyen",7158.62,TXN1021
2026-08-09,Perez Inc,70584.69,TXN1022
2026-07-24,Morales-Jones,75320.67,TXN1023
2026-08-15,"Walter, Edwards and Rios",49286.26,TXN1024
2026-08-12,Wilkerson-Day,6377.41,TXN1025
2026-07-19,Baker and Sons,19757.4,TXN1026
2026-07-15,"Hoffman, Baker and Richards",83751.22,TXN1027
2026-07-25,"Ross, Robinson and Bright",73717.87,TXN1028
2026-07-11,Burton Ltd,70982.33,TXN1030
2026-07-14,Carlson-Cruz,31780.29,TXN1031
2026-08-14,"Ferrell, Rice and Maddox",57129.8,TXN1032
2026-08-11,Frazier Inc,79647.31,TXN1033
2026-08-10,"Dyer, Potter and Mack",6533.51,TXN1034
2026-07-16,Rodriguez-Graham,14961.22,TXN1035
2026-07-25,Smith-Bowen,14307.51,TXN1036
2026-08-10,"Baker, Mason and White",23310.59,TXN1037
2026-07-15,Harrell LLC,58649.69,TXN1038
2026-07-04,"Romero, Gonzalez and Brooks",58349.9,TXN1039
2026-07-03,Ryan PLC,19854.56,TXN1040
2026-07-26,George Group,68526.37,TXN1041
2026-07-14,Rodriguez LLC,23124.1,TXN1042
2026-08-06,Allen-Allen,77660.0,TXN1043
2026-07-21,"Arroyo, Miller and Tucker",74553.06,TXN1044
2026-08-01,Spence PLC,18466.94,TXN1045
2026-07-17,"Martin, Rose and Obrien",39272.98,TXN1047
2026-08-05,Hickman Ltd,12298.76,TXN1048
2026-08-07,"Harris, Collins and Carney",46043.58,TXN1049
2026-08-07,"Brooks, Lam and Hayes",36702.66,TXN1050
2026-07-15,Walker LLC,34249.34,TXN1051
2026-07-09,Chapman and Sons,84774.03,TXN1052
2026-07-06,"Robinson, Jones and Welch",43554.97,TXN1053
2026-07-08,Jones Inc,64363.59,TXN1054
2026-07-11,Jones-Young,13415.09,TXN1055
2026-07-28,"Washington, Ryan and Cummings",67430.71,TXN1056
2026-07-25,"Johnston, Sanchez and Kennedy",50896.56,TXN1057
2026-07-30,Lee-Davis,32746.83,TXN1058
2026-08-05,Gomez-Jenkins,45210.16,TXN1059
2026-07-01,"Brown, Valdez and Lucas",73235.88,TXN1060
2026-07-08,Powell LLC,57983.95,TXN1061
2026-08-04,Wright and Sons,58104.53,TXN1062
2026-08-11,"West, Henderson and Ramirez",63949.17,TXN1063
2026-07-19,Baxter Inc,29244.83,TXN1064
2026-07-30,Morton-Chase,37237.66,TXN1065
2026-07-17,Williams PLC,774.23,TXN1066
2026-07-12,Novak and Sons,82624.54,TXN1067
2026-07-07,Russell Group,43399.1,TXN1068
